"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:18:57 GMT 2022","Mon Jul 04 11:18:59 GMT 2022","2060","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:19:09 GMT 2022","Mon Jul 04 11:19:10 GMT 2022","802","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:19:08 GMT 2022","Mon Jul 04 11:19:09 GMT 2022","832","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:19:03 GMT 2022","Mon Jul 04 11:19:04 GMT 2022","1362","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:18:59 GMT 2022","Mon Jul 04 11:19:00 GMT 2022","1367","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 11:19:04 GMT 2022","Mon Jul 04 11:19:05 GMT 2022","874","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:19:10 GMT 2022","Mon Jul 04 11:19:16 GMT 2022","6073","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:19:08 GMT 2022","Mon Jul 04 11:19:08 GMT 2022","938","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
