"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 12:58:49 GMT 2022","Mon Jul 04 12:58:50 GMT 2022","904","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 12:58:45 GMT 2022","Mon Jul 04 12:58:46 GMT 2022","1072","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 12:58:50 GMT 2022","Mon Jul 04 12:58:51 GMT 2022","806","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 12:58:48 GMT 2022","Mon Jul 04 12:58:49 GMT 2022","994","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 12:58:51 GMT 2022","Mon Jul 04 12:58:57 GMT 2022","6026","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 12:58:37 GMT 2022","Mon Jul 04 12:58:39 GMT 2022","1983","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 12:58:39 GMT 2022","Mon Jul 04 12:58:41 GMT 2022","1584","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 12:58:43 GMT 2022","Mon Jul 04 12:58:45 GMT 2022","1143","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
