"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:43:24 GMT 2022","Mon Jul 04 11:43:25 GMT 2022","1022","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:43:20 GMT 2022","Mon Jul 04 11:43:21 GMT 2022","893","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:43:27 GMT 2022","Mon Jul 04 11:43:33 GMT 2022","6039","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:43:14 GMT 2022","Mon Jul 04 11:43:16 GMT 2022","1543","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 11:43:19 GMT 2022","Mon Jul 04 11:43:20 GMT 2022","1235","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:43:25 GMT 2022","Mon Jul 04 11:43:26 GMT 2022","857","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:43:26 GMT 2022","Mon Jul 04 11:43:27 GMT 2022","838","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:43:12 GMT 2022","Mon Jul 04 11:43:14 GMT 2022","2260","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
