"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:38:04 GMT 2022","Mon Jul 04 11:38:10 GMT 2022","6079","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:37:58 GMT 2022","Mon Jul 04 11:37:59 GMT 2022","856","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:38:01 GMT 2022","Mon Jul 04 11:38:02 GMT 2022","1020","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:38:02 GMT 2022","Mon Jul 04 11:38:03 GMT 2022","851","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:37:57 GMT 2022","Mon Jul 04 11:37:58 GMT 2022","1189","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:37:49 GMT 2022","Mon Jul 04 11:37:52 GMT 2022","2375","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:37:52 GMT 2022","Mon Jul 04 11:37:53 GMT 2022","1463","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 11:38:03 GMT 2022","Mon Jul 04 11:38:04 GMT 2022","811","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
