"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 09:32:27 GMT 2022","Wed Jul 06 09:32:28 GMT 2022","1308","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jul 06 09:32:45 GMT 2022","Wed Jul 06 09:32:46 GMT 2022","760","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jul 06 09:32:21 GMT 2022","Wed Jul 06 09:32:23 GMT 2022","1878","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jul 06 09:32:44 GMT 2022","Wed Jul 06 09:32:45 GMT 2022","831","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 06 09:32:29 GMT 2022","Wed Jul 06 09:32:29 GMT 2022","64","","Login Page Tests","","","","Checking 404 status code",""
"passed","Wed Jul 06 09:32:43 GMT 2022","Wed Jul 06 09:32:44 GMT 2022","962","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Wed Jul 06 09:32:35 GMT 2022","Wed Jul 06 09:32:41 GMT 2022","5972","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 06 09:32:33 GMT 2022","Wed Jul 06 09:32:34 GMT 2022","850","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 06 09:32:23 GMT 2022","Wed Jul 06 09:32:24 GMT 2022","1286","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jul 06 09:32:28 GMT 2022","Wed Jul 06 09:32:29 GMT 2022","849","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Wed Jul 06 09:32:32 GMT 2022","Wed Jul 06 09:32:33 GMT 2022","929","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jul 06 09:32:29 GMT 2022","Wed Jul 06 09:32:29 GMT 2022","75","","Login Page Tests","","","","Handling iframe",""
"passed","Wed Jul 06 09:32:46 GMT 2022","Wed Jul 06 09:32:52 GMT 2022","5994","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 06 09:33:03 GMT 2022","Wed Jul 06 09:33:07 GMT 2022","4005","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
"passed","Wed Jul 06 09:32:34 GMT 2022","Wed Jul 06 09:32:35 GMT 2022","804","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
