"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:46:51 GMT 2022","Wed Jun 29 13:46:52 GMT 2022","826","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jun 29 13:46:46 GMT 2022","Wed Jun 29 13:46:47 GMT 2022","1195","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jun 29 13:46:40 GMT 2022","Wed Jun 29 13:46:42 GMT 2022","2007","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jun 29 13:46:47 GMT 2022","Wed Jun 29 13:46:48 GMT 2022","919","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Wed Jun 29 13:46:53 GMT 2022","Wed Jun 29 13:46:59 GMT 2022","5998","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jun 29 13:46:52 GMT 2022","Wed Jun 29 13:46:53 GMT 2022","815","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Wed Jun 29 13:46:42 GMT 2022","Wed Jun 29 13:46:43 GMT 2022","1266","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jun 29 13:46:50 GMT 2022","Wed Jun 29 13:46:51 GMT 2022","940","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
