"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 14:04:45 GMT 2022","Mon Jul 04 14:04:46 GMT 2022","801","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 14:05:07 GMT 2022","Mon Jul 04 14:05:07 GMT 2022","64","","test for using variables across tests","","","","Using the variable in different test case with function keyword to be put",""
"passed","Mon Jul 04 14:04:40 GMT 2022","Mon Jul 04 14:04:41 GMT 2022","1080","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 14:04:41 GMT 2022","Mon Jul 04 14:04:42 GMT 2022","951","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 14:04:56 GMT 2022","Mon Jul 04 14:04:57 GMT 2022","936","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 14:04:46 GMT 2022","Mon Jul 04 14:04:47 GMT 2022","758","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 14:04:36 GMT 2022","Mon Jul 04 14:04:37 GMT 2022","1273","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 14:04:47 GMT 2022","Mon Jul 04 14:04:53 GMT 2022","5985","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 14:04:58 GMT 2022","Mon Jul 04 14:05:04 GMT 2022","5935","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 14:05:07 GMT 2022","Mon Jul 04 14:05:07 GMT 2022","89","","test for using variables across tests","","","","Code is commented for using the variables",""
"passed","Mon Jul 04 14:04:55 GMT 2022","Mon Jul 04 14:04:56 GMT 2022","922","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 14:04:44 GMT 2022","Mon Jul 04 14:04:45 GMT 2022","965","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 14:04:57 GMT 2022","Mon Jul 04 14:04:58 GMT 2022","734","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 14:04:34 GMT 2022","Mon Jul 04 14:04:36 GMT 2022","1555","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
