"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:37:05 GMT 2022","Mon Jul 04 11:37:06 GMT 2022","798","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:36:47 GMT 2022","Mon Jul 04 11:36:49 GMT 2022","1132","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:36:53 GMT 2022","Mon Jul 04 11:36:54 GMT 2022","911","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:37:06 GMT 2022","Mon Jul 04 11:37:12 GMT 2022","6019","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:37:04 GMT 2022","Mon Jul 04 11:37:05 GMT 2022","1003","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:36:54 GMT 2022","Mon Jul 04 11:36:55 GMT 2022","787","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:36:44 GMT 2022","Mon Jul 04 11:36:45 GMT 2022","1183","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 11:36:55 GMT 2022","Mon Jul 04 11:37:01 GMT 2022","6022","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:36:42 GMT 2022","Mon Jul 04 11:36:43 GMT 2022","1646","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:37:05 GMT 2022","Mon Jul 04 11:37:05 GMT 2022","877","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:36:49 GMT 2022","Mon Jul 04 11:36:50 GMT 2022","989","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:36:52 GMT 2022","Mon Jul 04 11:36:53 GMT 2022","1026","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
