"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 04:29:47 GMT 2022","Thu Aug 25 04:29:48 GMT 2022","858","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Thu Aug 25 04:30:22 GMT 2022","Thu Aug 25 04:30:23 GMT 2022","353","","test for handling multiple windows","","","","Code is commented for handling multiple windows",""
"passed","Thu Aug 25 04:29:57 GMT 2022","Thu Aug 25 04:29:58 GMT 2022","898","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Thu Aug 25 04:29:43 GMT 2022","Thu Aug 25 04:29:43 GMT 2022","71","","Login Page Tests","","","","Handling iframe",""
"passed","Thu Aug 25 04:29:38 GMT 2022","Thu Aug 25 04:29:38 GMT 2022","89","","Handling Iframe in cypress","","","","Code for Handling Iframe-method 1",""
"passed","Thu Aug 25 04:29:48 GMT 2022","Thu Aug 25 04:29:54 GMT 2022","6017","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Thu Aug 25 04:29:46 GMT 2022","Thu Aug 25 04:29:47 GMT 2022","855","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Thu Aug 25 04:29:34 GMT 2022","Thu Aug 25 04:29:35 GMT 2022","253","","Compare Arrays","","","","Test to show difference in arrays",""
"passed","Thu Aug 25 04:29:56 GMT 2022","Thu Aug 25 04:29:57 GMT 2022","900","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Thu Aug 25 04:29:59 GMT 2022","Thu Aug 25 04:30:05 GMT 2022","6057","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Thu Aug 25 04:29:58 GMT 2022","Thu Aug 25 04:29:59 GMT 2022","816","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Thu Aug 25 04:29:28 GMT 2022","Thu Aug 25 04:29:30 GMT 2022","2267","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Thu Aug 25 04:29:41 GMT 2022","Thu Aug 25 04:29:42 GMT 2022","1212","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Thu Aug 25 04:29:30 GMT 2022","Thu Aug 25 04:29:32 GMT 2022","1311","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Thu Aug 25 04:29:45 GMT 2022","Thu Aug 25 04:29:46 GMT 2022","1004","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Thu Aug 25 04:30:11 GMT 2022","Thu Aug 25 04:30:18 GMT 2022","7484","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
"passed","Thu Aug 25 04:29:42 GMT 2022","Thu Aug 25 04:29:43 GMT 2022","941","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Thu Aug 25 04:29:43 GMT 2022","Thu Aug 25 04:29:43 GMT 2022","34","","Login Page Tests","","","","Checking 404 status code",""
