"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 10:54:05 GMT 2022","Mon Jul 04 10:54:06 GMT 2022","958","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 10:54:11 GMT 2022","Mon Jul 04 10:54:12 GMT 2022","902","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 10:54:10 GMT 2022","Mon Jul 04 10:54:11 GMT 2022","871","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 10:53:57 GMT 2022","Mon Jul 04 10:53:59 GMT 2022","1878","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 10:54:09 GMT 2022","Mon Jul 04 10:54:10 GMT 2022","1123","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 10:54:12 GMT 2022","Mon Jul 04 10:54:18 GMT 2022","6128","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 10:53:59 GMT 2022","Mon Jul 04 10:54:00 GMT 2022","1357","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 10:54:04 GMT 2022","Mon Jul 04 10:54:05 GMT 2022","1112","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
