"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 09:22:23 GMT 2022","Wed Jul 06 09:22:23 GMT 2022","45","","Login Page Tests","","","","Handling iframe",""
"passed","Wed Jul 06 09:22:23 GMT 2022","Wed Jul 06 09:22:24 GMT 2022","26","","Login Page Tests","","","","Checking 404 status code",""
"passed","Wed Jul 06 09:22:17 GMT 2022","Wed Jul 06 09:22:19 GMT 2022","1343","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jul 06 09:22:41 GMT 2022","Wed Jul 06 09:22:47 GMT 2022","5987","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 06 09:22:28 GMT 2022","Wed Jul 06 09:22:29 GMT 2022","925","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"failed","Wed Jul 06 09:22:50 GMT 2022","Wed Jul 06 09:22:51 GMT 2022","540","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
"passed","Wed Jul 06 09:22:39 GMT 2022","Wed Jul 06 09:22:40 GMT 2022","892","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 06 09:22:26 GMT 2022","Wed Jul 06 09:22:27 GMT 2022","1048","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jul 06 09:22:21 GMT 2022","Wed Jul 06 09:22:22 GMT 2022","1224","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jul 06 09:22:40 GMT 2022","Wed Jul 06 09:22:41 GMT 2022","798","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jul 06 09:22:54 GMT 2022","Wed Jul 06 09:22:54 GMT 2022","41","","test for using variables across tests","","","","Using the variable in different test case with function keyword to be put",""
"passed","Wed Jul 06 09:22:29 GMT 2022","Wed Jul 06 09:22:35 GMT 2022","6062","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 06 09:22:27 GMT 2022","Wed Jul 06 09:22:28 GMT 2022","979","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 06 09:22:15 GMT 2022","Wed Jul 06 09:22:17 GMT 2022","1673","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jul 06 09:22:53 GMT 2022","Wed Jul 06 09:22:54 GMT 2022","97","","test for using variables across tests","","","","Code is commented for using the variables",""
"passed","Wed Jul 06 09:22:22 GMT 2022","Wed Jul 06 09:22:23 GMT 2022","986","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Wed Jul 06 09:22:38 GMT 2022","Wed Jul 06 09:22:39 GMT 2022","925","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
