"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:01:20 GMT 2022","Mon Jul 04 11:01:21 GMT 2022","865","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:01:21 GMT 2022","Mon Jul 04 11:01:27 GMT 2022","5977","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:01:19 GMT 2022","Mon Jul 04 11:01:20 GMT 2022","923","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:01:21 GMT 2022","Mon Jul 04 11:01:21 GMT 2022","788","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:01:14 GMT 2022","Mon Jul 04 11:01:15 GMT 2022","1306","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:01:15 GMT 2022","Mon Jul 04 11:01:16 GMT 2022","939","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:01:08 GMT 2022","Mon Jul 04 11:01:10 GMT 2022","1812","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:01:10 GMT 2022","Mon Jul 04 11:01:11 GMT 2022","1195","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
