"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:26:06 GMT 2022","Wed Jun 29 13:26:13 GMT 2022","6152","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jun 29 13:26:03 GMT 2022","Wed Jun 29 13:26:04 GMT 2022","1166","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jun 29 13:26:18 GMT 2022","Wed Jun 29 13:26:19 GMT 2022","851","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jun 29 13:25:52 GMT 2022","Wed Jun 29 13:25:54 GMT 2022","1902","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jun 29 13:26:16 GMT 2022","Wed Jun 29 13:26:17 GMT 2022","1025","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Wed Jun 29 13:26:17 GMT 2022","Wed Jun 29 13:26:18 GMT 2022","944","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jun 29 13:25:58 GMT 2022","Wed Jun 29 13:25:59 GMT 2022","1842","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jun 29 13:25:49 GMT 2022","Wed Jun 29 13:25:52 GMT 2022","2272","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jun 29 13:26:19 GMT 2022","Wed Jun 29 13:26:25 GMT 2022","6062","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jun 29 13:26:04 GMT 2022","Wed Jun 29 13:26:05 GMT 2022","1128","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jun 29 13:26:05 GMT 2022","Wed Jun 29 13:26:06 GMT 2022","872","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
