"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 13:58:13 GMT 2022","Wed Jul 13 13:58:13 GMT 2022","51","","Login Page Tests","","","","Handling iframe",""
"passed","Wed Jul 13 13:58:08 GMT 2022","Wed Jul 13 13:58:08 GMT 2022","104","","Handling Iframe in cypress","","","","Code for Handling Iframe-method 1",""
"passed","Wed Jul 13 13:58:02 GMT 2022","Wed Jul 13 13:58:04 GMT 2022","1610","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jul 13 13:58:12 GMT 2022","Wed Jul 13 13:58:13 GMT 2022","873","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Wed Jul 13 13:58:17 GMT 2022","Wed Jul 13 13:58:18 GMT 2022","931","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 13 13:58:30 GMT 2022","Wed Jul 13 13:58:36 GMT 2022","5983","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 13 13:58:28 GMT 2022","Wed Jul 13 13:58:29 GMT 2022","920","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 13 13:58:19 GMT 2022","Wed Jul 13 13:58:25 GMT 2022","6062","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 13 13:58:04 GMT 2022","Wed Jul 13 13:58:05 GMT 2022","1413","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jul 13 13:58:13 GMT 2022","Wed Jul 13 13:58:13 GMT 2022","39","","Login Page Tests","","","","Checking 404 status code",""
"passed","Wed Jul 13 13:58:27 GMT 2022","Wed Jul 13 13:58:28 GMT 2022","1030","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Wed Jul 13 13:58:16 GMT 2022","Wed Jul 13 13:58:17 GMT 2022","1022","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jul 13 13:58:11 GMT 2022","Wed Jul 13 13:58:12 GMT 2022","987","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jul 13 13:58:18 GMT 2022","Wed Jul 13 13:58:19 GMT 2022","756","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Wed Jul 13 13:58:29 GMT 2022","Wed Jul 13 13:58:30 GMT 2022","789","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jul 13 13:58:42 GMT 2022","Wed Jul 13 13:58:51 GMT 2022","9225","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
