"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:21:24 GMT 2022","Mon Jul 04 11:21:30 GMT 2022","6077","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:21:12 GMT 2022","Mon Jul 04 11:21:12 GMT 2022","893","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:21:21 GMT 2022","Mon Jul 04 11:21:22 GMT 2022","1003","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:21:10 GMT 2022","Mon Jul 04 11:21:12 GMT 2022","1023","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:21:04 GMT 2022","Mon Jul 04 11:21:06 GMT 2022","1319","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:21:09 GMT 2022","Mon Jul 04 11:21:10 GMT 2022","1034","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:21:22 GMT 2022","Mon Jul 04 11:21:23 GMT 2022","1050","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:21:12 GMT 2022","Mon Jul 04 11:21:18 GMT 2022","5997","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:21:06 GMT 2022","Mon Jul 04 11:21:07 GMT 2022","1198","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:21:23 GMT 2022","Mon Jul 04 11:21:24 GMT 2022","932","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
