"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 03:53:03 GMT 2022","Tue Sep 20 03:53:09 GMT 2022","5957","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Tue Sep 20 03:52:42 GMT 2022","Tue Sep 20 03:52:42 GMT 2022","80","","Handling Iframe in cypress","","","","Code for Handling Iframe-method 1",""
"passed","Tue Sep 20 03:52:46 GMT 2022","Tue Sep 20 03:52:46 GMT 2022","36","","Login Page Tests","","","","Handling iframe",""
"passed","Tue Sep 20 03:53:00 GMT 2022","Tue Sep 20 03:53:01 GMT 2022","1002","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Tue Sep 20 03:53:01 GMT 2022","Tue Sep 20 03:53:02 GMT 2022","888","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Tue Sep 20 03:52:51 GMT 2022","Tue Sep 20 03:52:51 GMT 2022","751","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Tue Sep 20 03:53:02 GMT 2022","Tue Sep 20 03:53:03 GMT 2022","743","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Tue Sep 20 03:52:50 GMT 2022","Tue Sep 20 03:52:51 GMT 2022","827","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"failed","Tue Sep 20 03:53:15 GMT 2022","Tue Sep 20 03:53:26 GMT 2022","11090","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
"passed","Tue Sep 20 03:52:33 GMT 2022","Tue Sep 20 03:52:34 GMT 2022","1666","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Tue Sep 20 03:52:49 GMT 2022","Tue Sep 20 03:52:50 GMT 2022","961","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Tue Sep 20 03:52:44 GMT 2022","Tue Sep 20 03:52:45 GMT 2022","961","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Tue Sep 20 03:53:29 GMT 2022","Tue Sep 20 03:53:29 GMT 2022","220","","test for handling multiple windows","","","","Code is commented for handling multiple windows",""
"passed","Tue Sep 20 03:52:38 GMT 2022","Tue Sep 20 03:52:39 GMT 2022","167","","Compare Arrays","","","","Test to show difference in arrays",""
"passed","Tue Sep 20 03:52:45 GMT 2022","Tue Sep 20 03:52:46 GMT 2022","805","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Tue Sep 20 03:52:51 GMT 2022","Tue Sep 20 03:52:57 GMT 2022","5926","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Tue Sep 20 03:52:46 GMT 2022","Tue Sep 20 03:52:46 GMT 2022","34","","Login Page Tests","","","","Checking 404 status code",""
"passed","Tue Sep 20 03:52:34 GMT 2022","Tue Sep 20 03:52:36 GMT 2022","1249","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
