"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 04:13:26 GMT 2022","Tue Jul 05 04:13:28 GMT 2022","1653","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Tue Jul 05 04:13:53 GMT 2022","Tue Jul 05 04:13:53 GMT 2022","934","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Tue Jul 05 04:13:51 GMT 2022","Tue Jul 05 04:13:53 GMT 2022","1148","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Tue Jul 05 04:13:41 GMT 2022","Tue Jul 05 04:13:42 GMT 2022","896","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Tue Jul 05 04:13:40 GMT 2022","Tue Jul 05 04:13:41 GMT 2022","960","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Tue Jul 05 04:13:34 GMT 2022","Tue Jul 05 04:13:35 GMT 2022","1020","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Tue Jul 05 04:13:38 GMT 2022","Tue Jul 05 04:13:40 GMT 2022","1237","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Tue Jul 05 04:13:54 GMT 2022","Tue Jul 05 04:14:00 GMT 2022","6136","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Tue Jul 05 04:13:24 GMT 2022","Tue Jul 05 04:13:26 GMT 2022","2270","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Tue Jul 05 04:13:42 GMT 2022","Tue Jul 05 04:13:48 GMT 2022","6292","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Tue Jul 05 04:13:32 GMT 2022","Tue Jul 05 04:13:34 GMT 2022","1543","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Tue Jul 05 04:13:53 GMT 2022","Tue Jul 05 04:13:54 GMT 2022","862","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
