"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:07:55 GMT 2022","Mon Jul 04 11:07:56 GMT 2022","1165","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:08:00 GMT 2022","Mon Jul 04 11:08:01 GMT 2022","1215","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:08:13 GMT 2022","Mon Jul 04 11:08:14 GMT 2022","1216","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:08:16 GMT 2022","Mon Jul 04 11:08:22 GMT 2022","6130","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:08:15 GMT 2022","Mon Jul 04 11:08:16 GMT 2022","904","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:08:02 GMT 2022","Mon Jul 04 11:08:03 GMT 2022","955","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:08:14 GMT 2022","Mon Jul 04 11:08:15 GMT 2022","941","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:07:48 GMT 2022","Mon Jul 04 11:07:50 GMT 2022","1781","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Mon Jul 04 11:08:01 GMT 2022","Mon Jul 04 11:08:02 GMT 2022","944","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:07:46 GMT 2022","Mon Jul 04 11:07:48 GMT 2022","2331","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:07:54 GMT 2022","Mon Jul 04 11:07:55 GMT 2022","1444","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:08:03 GMT 2022","Mon Jul 04 11:08:09 GMT 2022","6182","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
