"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 14:10:42 GMT 2022","Wed Jul 13 14:10:43 GMT 2022","888","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Wed Jul 13 14:11:00 GMT 2022","Wed Jul 13 14:11:06 GMT 2022","6064","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 13 14:10:43 GMT 2022","Wed Jul 13 14:10:43 GMT 2022","77","","Login Page Tests","","","","Handling iframe",""
"passed","Wed Jul 13 14:11:24 GMT 2022","Wed Jul 13 14:11:24 GMT 2022","277","","test for handling multiple windows","","","","Code is commented for handling multiple windows",""
"passed","Wed Jul 13 14:10:47 GMT 2022","Wed Jul 13 14:10:48 GMT 2022","795","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Wed Jul 13 14:10:45 GMT 2022","Wed Jul 13 14:10:46 GMT 2022","958","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jul 13 14:10:43 GMT 2022","Wed Jul 13 14:10:43 GMT 2022","63","","Login Page Tests","","","","Checking 404 status code",""
"passed","Wed Jul 13 14:10:33 GMT 2022","Wed Jul 13 14:10:34 GMT 2022","1348","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jul 13 14:10:48 GMT 2022","Wed Jul 13 14:10:54 GMT 2022","6118","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jul 13 14:10:37 GMT 2022","Wed Jul 13 14:10:38 GMT 2022","227","","Handling Iframe in cypress","","","","Code for Handling Iframe-method 1",""
"passed","Wed Jul 13 14:11:27 GMT 2022","Wed Jul 13 14:11:27 GMT 2022","125","","test for using variables across tests","","","","Code is commented for using the variables",""
"passed","Wed Jul 13 14:11:27 GMT 2022","Wed Jul 13 14:11:27 GMT 2022","71","","test for using variables across tests","","","","Using the variable in different test case with function keyword to be put",""
"passed","Wed Jul 13 14:10:46 GMT 2022","Wed Jul 13 14:10:47 GMT 2022","838","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 13 14:10:31 GMT 2022","Wed Jul 13 14:10:33 GMT 2022","1662","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jul 13 14:10:58 GMT 2022","Wed Jul 13 14:10:59 GMT 2022","863","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jul 13 14:10:59 GMT 2022","Wed Jul 13 14:11:00 GMT 2022","779","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jul 13 14:11:11 GMT 2022","Wed Jul 13 14:11:20 GMT 2022","9003","","Login Page Tests Dynamic","","","","Verify if sticky page elements are visible during scroll",""
"passed","Wed Jul 13 14:10:41 GMT 2022","Wed Jul 13 14:10:42 GMT 2022","928","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Wed Jul 13 14:10:57 GMT 2022","Wed Jul 13 14:10:58 GMT 2022","942","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
