"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 07:59:08 GMT 2022","Wed Jun 29 07:59:09 GMT 2022","840","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Wed Jun 29 07:59:09 GMT 2022","Wed Jun 29 07:59:15 GMT 2022","5978","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jun 29 07:59:20 GMT 2022","Wed Jun 29 07:59:21 GMT 2022","766","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Wed Jun 29 07:59:07 GMT 2022","Wed Jun 29 07:59:08 GMT 2022","1016","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Wed Jun 29 07:59:21 GMT 2022","Wed Jun 29 07:59:27 GMT 2022","5995","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Wed Jun 29 07:59:19 GMT 2022","Wed Jun 29 07:59:20 GMT 2022","850","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Wed Jun 29 07:58:57 GMT 2022","Wed Jun 29 07:58:59 GMT 2022","1530","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Wed Jun 29 07:58:59 GMT 2022","Wed Jun 29 07:59:00 GMT 2022","1225","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
"passed","Wed Jun 29 07:59:09 GMT 2022","Wed Jun 29 07:59:09 GMT 2022","795","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Wed Jun 29 07:59:18 GMT 2022","Wed Jun 29 07:59:19 GMT 2022","957","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Wed Jun 29 07:59:03 GMT 2022","Wed Jun 29 07:59:04 GMT 2022","1199","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
