"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 11:12:49 GMT 2022","Mon Jul 04 11:12:50 GMT 2022","1033","","Login Page Tests Custom Command","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:12:45 GMT 2022","Mon Jul 04 11:12:46 GMT 2022","1071","","Login Page Tests","","","","Verify User should be able to login with valid credentials Test",""
"passed","Mon Jul 04 11:12:51 GMT 2022","Mon Jul 04 11:12:52 GMT 2022","844","","Login Page Tests Custom Command","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:12:37 GMT 2022","Mon Jul 04 11:12:39 GMT 2022","1698","","Add to Cart Test","","","","Verify User should be able to login with valid credentials and add items to the cart",""
"passed","Mon Jul 04 11:12:52 GMT 2022","Mon Jul 04 11:12:58 GMT 2022","6131","","Login Page Tests Custom Command","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:12:50 GMT 2022","Mon Jul 04 11:12:51 GMT 2022","1026","","Login Page Tests Custom Command","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:13:03 GMT 2022","Mon Jul 04 11:13:04 GMT 2022","965","","Login Page Tests Dynamic","","","","User Login attemptlocked_out_user",""
"passed","Mon Jul 04 11:13:02 GMT 2022","Mon Jul 04 11:13:03 GMT 2022","1306","","Login Page Tests Dynamic","","","","User Login attemptstandard_user",""
"passed","Mon Jul 04 11:13:04 GMT 2022","Mon Jul 04 11:13:05 GMT 2022","894","","Login Page Tests Dynamic","","","","User Login attemptproblem_user",""
"passed","Mon Jul 04 11:13:05 GMT 2022","Mon Jul 04 11:13:11 GMT 2022","6071","","Login Page Tests Dynamic","","","","User Login attemptperformance_glitch_user",""
"passed","Mon Jul 04 11:12:44 GMT 2022","Mon Jul 04 11:12:45 GMT 2022","1346","","Login Page Tests","","","","Verify User should be able to login with valid credentials",""
"passed","Mon Jul 04 11:12:39 GMT 2022","Mon Jul 04 11:12:40 GMT 2022","1591","","Add to Cart Test","","","","Verify User not should be able add items to the cart without succesful login",""
